,user,mode,game,iter,performance_mean,performance_std,frequency_overall,frequency_good_bad,timing_overall,timing_good,timing_bad,timing_good_indices,timing_bad_indices
69,Tomato,retrospective,mc,1,0.8991660053531327,0.14312610023147967,0.013333333333333334,0.0,68.0,-1.0,68.0,,"136, 90, 47, -1"
70,Tomato,retrospective,mc,2,0.5886939117891921,0.024874863755320942,0.015503875968992248,inf,76.75,76.75,-1.0,"165, 104, 31, 7",
71,Tomato,retrospective,mc,3,0.5220580490926902,0.035709567041563285,0.013333333333333334,0.0,119.0,-1.0,119.0,,"196, 142, 94, 44"
72,TRo,retrospective,snake,1,1.29,0.738850458482635,0.09,2.0,46.77777777777778,37.333333333333336,65.66666666666667,"75, 53, 44, 31, 22, -1","71, 66, 60"
73,TRo,retrospective,snake,2,2.49,1.34532523948672,0.11,0.0,47.72727272727273,-1.0,47.72727272727273,,"90, 84, 75, 67, 57, 50, 39, 31, 21, 12, -1"
74,TRo,retrospective,snake,3,2.59,1.2255202976695245,0.53,0.0392156862745098,46.18867924528302,43.0,46.31372549019608,"54, 32","93, 91, 90, 88, 86, 84, 82, 80, 78, 77, 75, 73, 71, 70, 68, 66, 64, 63, 61, 59, 57, 55, 52, 50, 48, 46, 44, 43, 41, 39, 37, 35, 34, 30, 28, 26, 25, 23, 21, 19, 17, 15, 14, 12, 10, 8, 6, 5, 3, 1, -1"
75,TRo,retrospective,ttt,1,-0.48,0.793473376995095,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
76,TRo,retrospective,ttt,2,-0.11,0.9787236586493657,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
77,TRo,retrospective,ttt,3,-0.07,0.9721625378505387,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
78,TRo,retrospective,mc,1,0.5201857479082214,0.03792131932256125,0.09701492537313433,inf,48.76923076923077,48.76923076923077,-1.0,"106, 98, 90, 71, 62, 54, 46, 38, 30, 22, 13, 5, -1",
79,TRo,retrospective,mc,2,0.3935802160037888,0.038435627304790755,0.11,0.17857142857142858,133.5151515151515,94.2,140.53571428571428,"192, 171, 106, 3, -1","277, 269, 261, 253, 244, 236, 228, 220, 212, 204, 163, 155, 147, 139, 131, 122, 114, 90, 82, 75, 67, 59, 51, 42, 35, 28, 20, 11"
80,TRo,retrospective,mc,3,0.3986667760544352,0.021565514860040286,0.08666666666666667,0.18181818181818182,151.57692307692307,99.5,161.04545454545453,"184, 141, 74, -1","264, 256, 248, 240, 232, 224, 216, 207, 199, 191, 167, 158, 151, 128, 120, 112, 104, 95, 87, 62, 54, 28"
81,Frog,live,snake,1,1.03,0.1705872210923198,0.07,0.4,27.142857142857142,40.5,21.8,"58, 23","62, 41, 6, 1, -1"
82,Frog,live,snake,2,1.03,0.1705872210923198,0.13,0.08333333333333333,50.38461538461539,57.0,49.833333333333336,57,"83, 73, 68, 67, 65, 63, 61, 59, 35, 24, 1, -1"
83,Frog,live,snake,3,1.03,0.1705872210923198,0.18,0.058823529411764705,45.55555555555556,46.0,45.529411764705884,46,"84, 71, 70, 68, 66, 64, 62, 60, 58, 38, 36, 34, 32, 30, 2, 0, -1"
84,Frog,live,ttt,1,-0.64,0.700285656000464,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
85,Frog,live,ttt,2,-0.39,0.8354040938372281,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
86,Frog,live,ttt,3,-0.6,0.692820323027551,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
87,Frog,live,mc,1,0.5718249700135655,0.21036255988310043,0.013333333333333334,0.3333333333333333,118.5,174.0,100.0,174,"246, 55, -1"
88,Frog,live,mc,2,0.5214540765517287,0.03460280025973124,0.02,0.5,129.33333333333334,127.0,130.5,"203, 51","251, 158, 109, 4"
89,Frog,live,mc,3,0.4042421630687183,0.05652409703725251,0.056666666666666664,0.0,79.47058823529412,-1.0,79.47058823529412,,"251, 190, 136, 115, 99, 91, 82, 75, 67, 59, 51, 42, 35, 27, 19, 10, 2"
90,Mob,live,snake,1,1.04,0.19595917942265426,0.08,0.3333333333333333,48.5,49.0,48.333333333333336,"87, 11","77, 67, 54, 42, 32, 18"
91,Mob,live,snake,2,1.74,1.082774214691133,0.09,0.0,39.22222222222222,-1.0,39.22222222222222,,"81, 72, 62, 45, 35, 27, 19, 11, 1"
92,Mob,live,snake,3,1.02,0.13999999999999999,0.13,0.3,47.84615384615385,58.333333333333336,44.7,"91, 49, 35","82, 75, 68, 65, 58, 55, 24, 15, 6, -1"
93,Mob,live,ttt,1,-0.35,0.8874119674649424,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
94,Mob,live,ttt,2,-0.3,0.8999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
95,Mob,live,ttt,3,-0.46,0.8416650165000326,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
96,Mob,live,mc,1,0.38629873411522975,0.033418115090499974,0.016666666666666666,1.5,167.6,156.0,185.0,"267, 202, -1","243, 127"
97,Mob,live,mc,2,0.38703852809137773,0.02937722564149181,0.016666666666666666,0.25,157.2,254.0,133.0,254,"207, 171, 109, 45"
98,Mob,live,mc,3,0.3882290419605043,0.03150792309498054,0.02666666666666667,0.14285714285714285,144.0,244.0,129.71428571428572,244,"273, 179, 146, 128, 94, 57, 31"
99,morf,live,snake,1,1.02,0.13999999999999999,0.18,0.8,40.05555555555556,55.375,27.8,"91, 76, 64, 51, 46, 43, 38, 34","73, 61, 27, 24, 22, 19, 17, 15, 11, 9"
100,morf,live,snake,2,1.04,0.19595917942265426,0.08,3.0,55.75,57.5,50.5,"78, 70, 66, 62, 51, 18","54, 47"
101,morf,live,snake,3,1.01,0.09949874371066199,0.18,0.5,50.05555555555556,24.5,62.833333333333336,"54, 35, 25, 17, 13, 3","84, 80, 78, 76, 73, 71, 69, 66, 64, 62, 32, -1"
102,morf,live,ttt,1,-0.2,0.9055385138137417,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
103,morf,live,ttt,2,-0.15,0.8986100377805715,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
104,morf,live,ttt,3,-0.21,0.9087904048789248,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
105,morf,live,mc,1,0.5152394853532315,0.033658235163896995,0.03333333333333333,4.0,151.7,155.5,136.5,"279, 224, 209, 187, 153, 95, 84, 13","242, 31"
106,morf,live,mc,2,0.5172817452086342,0.03716007092928286,0.023333333333333334,1.3333333333333333,138.0,146.25,127.0,"269, 173, 110, 33","213, 156, 12"
107,morf,live,mc,3,0.38788327293263536,0.031605066320758414,0.03,1.25,152.88888888888889,190.4,106.0,"270, 246, 191, 169, 76","227, 136, 54, 7"
108,Red,live,snake,1,2.33,1.0493331215586401,0.05,1.5,36.0,47.333333333333336,19.0,"63, 55, 24","33, 5"
109,Red,live,snake,2,1.02,0.13999999999999999,0.07,0.75,49.0,43.0,53.5,"50, 44, 35","83, 68, 59, 4"
110,Red,live,snake,3,1.58,0.6808817812219681,0.07,0.75,48.57142857142857,75.33333333333333,28.5,"88, 76, 62","69, 31, 15, -1"
111,Red,live,ttt,1,-0.27,0.9039358384310249,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
112,Red,live,ttt,2,-0.21,0.9087904048789248,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
113,Red,live,ttt,3,-0.39,0.8819863944528851,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
114,Red,live,mc,1,0.39014156477318873,0.03291752755209962,0.023333333333333334,1.3333333333333333,171.0,218.5,107.66666666666667,"266, 252, 198, 158","237, 87, -1"
115,Red,live,mc,2,0.3886459446615643,0.030249156509582514,0.013333333333333334,1.0,113.25,107.5,119.0,"186, 29","140, 98"
116,Red,live,mc,3,0.3924818954534001,0.03248622760786071,0.016666666666666666,0.6666666666666666,148.2,224.5,97.33333333333333,"257, 192","154, 105, 33"
117,Something,live,snake,1,1.08,0.30594117081556704,0.19,0.26666666666666666,40.26315789473684,53.75,36.666666666666664,"83, 70, 33, 29","81, 78, 73, 66, 55, 49, 44, 40, 19, 17, 13, 9, 5, 2, -1"
118,Something,live,snake,2,1.02,0.13999999999999999,0.16,0.23076923076923078,44.4375,61.666666666666664,40.46153846153846,"66, 64, 55","87, 83, 79, 74, 60, 31, 28, 27, 25, 18, 10, 5, -1"
119,Something,live,snake,3,1.03,0.17058722109231983,0.19,0.0,43.21052631578947,-1.0,43.21052631578947,,"87, 81, 76, 72, 67, 62, 57, 52, 47, 43, 38, 33, 29, 25, 20, 15, 10, 6, 1"
120,Something,live,ttt,1,-0.49,0.8306021911842033,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
121,Something,live,ttt,2,-0.6,0.7615773105863909,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
122,Something,live,ttt,3,-0.61,0.7732399368889322,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
123,Something,live,mc,1,0.3882530692550871,0.03291188138279303,0.02,0.5,139.66666666666666,220.0,99.5,"268, 172","222, 114, 44, 18"
124,Something,live,mc,2,0.3863899793889787,0.03103707676540274,0.09666666666666666,0.0,109.44827586206897,-1.0,109.44827586206897,,"270, 245, 202, 194, 187, 179, 171, 162, 154, 147, 139, 131, 122, 114, 107, 99, 90, 82, 74, 67, 58, 50, 42, 33, 26, 18, 10, 2, -1"
125,Something,live,mc,3,0.3931284429298506,0.030438247855318883,0.11666666666666667,0.0,136.31428571428572,-1.0,136.31428571428572,,"272, 265, 257, 248, 240, 232, 225, 217, 208, 201, 193, 186, 179, 171, 162, 154, 146, 136, 128, 119, 111, 104, 96, 88, 79, 71, 64, 56, 48, 39, 31, 24, 15, 7, -1"
126,TarotMaster,live,snake,1,1.01,0.09949874371066199,0.18,0.2857142857142857,44.05555555555556,63.25,38.57142857142857,"71, 66, 61, 55","85, 77, 75, 73, 46, 40, 36, 31, 26, 21, 15, 10, 5, 0"
127,TarotMaster,live,snake,2,1.01,0.09949874371066199,0.18,0.0,39.5,-1.0,39.5,,"83, 75, 69, 64, 60, 56, 51, 47, 42, 38, 33, 28, 23, 18, 13, 8, 4, -1"
128,TarotMaster,live,snake,3,1.04,0.19595917942265423,0.22,0.0,43.09090909090909,-1.0,43.09090909090909,,"84, 81, 77, 73, 69, 65, 61, 57, 53, 48, 44, 41, 36, 33, 29, 25, 22, 18, 15, 10, 6, 1"
129,TarotMaster,live,ttt,1,-0.32,0.8471127433818948,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
130,TarotMaster,live,ttt,2,-0.27,0.8349251463454672,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
131,TarotMaster,live,ttt,3,-0.24,0.873155198117723,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
132,TarotMaster,live,mc,1,0.8473535289367041,0.199326197547258,0.0,inf,-1.0,-1.0,-1.0,,
133,TarotMaster,live,mc,2,0.4576324462890625,0.0018395228332477346,0.007874015748031496,inf,-1.0,-1.0,-1.0,-1,
134,TarotMaster,live,mc,3,0.3842671554949548,0.029159490044782306,0.056666666666666664,0.0,112.3529411764706,-1.0,112.3529411764706,,"217, 209, 202, 194, 185, 177, 117, 109, 101, 93, 84, 76, 68, 60, 13, 6, -1"
135,Thistle,live,snake,1,1.19,0.4170131892398609,0.05,0.25,34.8,63.0,27.75,63,"53, 35, 21, 2"
136,Thistle,live,snake,2,1.2,0.4898979485566356,0.06,0.0,40.833333333333336,-1.0,40.833333333333336,,"77, 61, 46, 33, 20, 8"
137,Thistle,live,snake,3,1.23,0.5070502933634888,0.06,0.0,39.166666666666664,-1.0,39.166666666666664,,"79, 62, 46, 31, 16, 1"
138,Thistle,live,ttt,1,-0.48,0.8304215796810679,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
139,Thistle,live,ttt,2,-0.29,0.9305374790947434,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
140,Thistle,live,ttt,3,-0.35,0.8986100377805715,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
141,Thistle,live,mc,1,0.38805321190092296,0.030507277502542007,0.01,0.5,120.66666666666667,129.0,116.5,129,"234, -1"
142,Thistle,live,mc,2,0.3934845932655864,0.03339861507049913,0.01,2.0,135.66666666666666,113.0,181.0,"142, 84",181
143,Thistle,live,mc,3,0.39656859768761527,0.031804525340625604,0.023333333333333334,1.3333333333333333,136.42857142857142,134.0,139.66666666666666,"237, 179, 99, 21","213, 142, 64"
144,Tomato,live,snake,1,1.28,0.5844655678480982,0.09,0.8,37.333333333333336,38.75,36.2,"71, 45, 24, 15","88, 55, 33, 6, -1"
145,Tomato,live,snake,2,1.04,0.19595917942265423,0.1,0.42857142857142855,39.7,54.333333333333336,33.42857142857143,"84, 62, 17","71, 60, 42, 30, 23, 9, -1"
146,Tomato,live,snake,3,1.03,0.17058722109231983,0.17,0.0,34.8235294117647,-1.0,34.8235294117647,,"85, 75, 65, 59, 53, 48, 41, 36, 31, 28, 23, 18, 13, 9, 6, 3, -1"
147,Tomato,live,ttt,1,-0.19,0.934826187052973,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
148,Tomato,live,ttt,2,-0.23,0.8928045698807775,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
149,Tomato,live,ttt,3,-0.23,0.8585452812752512,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
150,Tomato,live,mc,1,0.3918202171723047,0.03416006582590307,0.01,2.0,132.0,169.5,57.0,"216, 123",57
151,Tomato,live,mc,2,0.9491164694229759,0.01123091882843224,0.016666666666666666,0.0,138.4,-1.0,138.4,,"256, 202, 137, 80, 17"
152,Tomato,live,mc,3,0.3844051000144746,0.030943301721856727,0.03333333333333333,0.0,91.6,-1.0,91.6,,"251, 190, 137, 96, 74, 62, 51, 36, 20, -1"
153,TRo,live,snake,1,1.02,0.13999999999999999,0.08,0.3333333333333333,41.0,29.0,45.0,"47, 11","83, 70, 59, 36, 22, 0"
154,TRo,live,snake,2,1.3,0.608276253029822,0.09,0.125,45.111111111111114,26.0,47.5,26,"89, 78, 66, 56, 45, 33, 11, 2"
155,TRo,live,snake,3,1.02,0.13999999999999999,0.27,0.0,30.59259259259259,-1.0,30.59259259259259,,"88, 78, 67, 58, 52, 48, 45, 42, 40, 37, 35, 33, 30, 28, 25, 23, 20, 18, 16, 13, 11, 8, 6, 4, 2, 0, -1"
156,TRo,live,ttt,1,-0.23,0.8815327560561773,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
157,TRo,live,ttt,2,-0.33,0.8491760712596651,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
158,TRo,live,ttt,3,-0.15,0.8874119674649423,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
159,TRo,live,mc,1,0.3892873027258449,0.034974507538390355,0.06,8.0,100.72222222222223,100.0,106.5,"258, 211, 186, 173, 164, 156, 148, 127, 54, 40, 33, 25, 17, 9, 0, -1","140, 73"
160,TRo,live,mc,2,0.386963517136044,0.03272346604362763,0.06666666666666667,0.5384615384615384,117.35,114.57142857142857,118.84615384615384,"249, 190, 181, 104, 34, 26, 18","224, 215, 207, 154, 146, 138, 128, 120, 66, 58, 49, 41, -1"
